garbage_index,satellite_index,distance
0,0,6914.862391523986
0,1,6256.988328136583
0,2,5600.764714585775
0,3,4968.941311438
0,4,4478.6425986318945
0,5,4037.392670490748
0,6,5521.50981029219
0,7,11936.64418088927
0,8,12355.901427712988
0,9,3822.2426995247306
0,10,13826.928190772987
0,11,6146.616956732789
0,12,3616.142346079952
0,13,6185.0935785702
0,14,5895.21065001504
0,15,3649.662091035952
0,16,2704.0847810141963
0,17,3006.7506487194655
0,18,10612.819786607954
0,19,9865.014395383176
0,20,9528.57384930507
0,21,10409.23509094577
0,22,7305.780147306251
0,23,12432.889286773703
0,24,2400.348721539208
0,25,13272.667486667071
0,26,13768.054149979687
0,27,13327.839848511141
0,28,13166.56687683716
0,29,14095.186268249303
0,30,1885.233316762027
0,31,5812.278499489125
0,32,6229.470475975633
0,33,8512.874444432033
0,34,8474.821403458676
0,35,1459.9511941594037
0,36,9827.981599041797
0,37,12427.847618674597
0,38,8269.52812290008
0,39,13957.63304983653
0,40,6300.620496156239
0,41,11985.387782682266
0,42,11979.426648666737
0,43,3803.257422063752
0,44,5788.258863918953
0,45,9811.756843286914
0,46,10783.380169490416
0,47,2362.633457097437
0,48,6176.094133640515
0,49,2895.4385007909664
0,50,2908.0742202935735
0,51,5623.511959172711
0,52,12756.777445305343
0,53,2902.7990448225905
0,54,11671.329181667901
0,55,3413.1777879985557
0,56,3050.829742500354
0,57,1253.5405528133435
0,58,4190.7668706324785
0,59,1116.8591219853602
0,60,1147.0528351751489
0,61,1625.6169831134746
0,62,8750.623553059848
0,63,1251.9846280887411
0,64,1213.164486377756
0,65,1980.988820343588
0,66,1785.0556476295505
0,67,1355.2490244506396
0,68,1432.7453640430313
0,69,1646.8687293931146
0,70,8877.233392779914
0,71,8472.340459694147
0,72,1297.898112825159
0,73,1122.6661358771712
0,74,5003.028360233643
0,75,1196.0679736733705
0,76,1640.4049739317347
0,77,1354.3680578818712
0,78,1140.8414175158098
0,79,1117.2671366557784
0,80,1217.0925776714848
0,81,9086.34849844788
0,82,6786.224999908888
0,83,6772.727991419181
0,84,6472.049201062024
0,85,6251.066942618408
0,86,6209.643107603512
0,87,6244.344535439632
0,88,6220.813569625637
0,89,6261.866766316541
0,90,6274.088507468222
0,91,6435.305391048195
0,92,6457.17567255204
0,93,6797.12084101697
0,94,6705.654959379541
0,95,10203.064516054226
0,96,5950.494532198372
0,97,5940.77935621448
0,98,6080.718612408729
0,99,6174.623206280567
0,100,9453.287647460736
0,101,10727.943918978484
0,102,3536.3645522848224
0,103,6867.106372432984
0,104,9514.238929607389
0,105,7912.090043449409
0,106,7561.013791963931
0,107,4705.20591447927
0,108,7060.381819513214
0,109,9970.214464494205
0,110,9867.304283615145
0,111,6758.846955552266
0,112,9692.540815720822
0,113,10982.887225258328
0,114,4440.776044572767
0,115,4727.101191704931
0,116,12953.169720174632
0,117,7746.041938246495
0,118,7266.376520031384
0,119,11255.990487087354
0,120,11529.125827890413
0,121,7556.567306178803
0,122,12117.886691068925
0,123,12990.008600677238
0,124,12090.02121910161
0,125,5454.841027301275
0,126,10479.539219939663
0,127,8064.917575679069
0,128,7225.030083215262
0,129,6661.887128316636
0,130,4445.337919432664
0,131,4347.997950951636
0,132,4317.552923189741
0,133,4502.468136466635
0,134,4754.133455928732
0,135,6030.974855558962
0,136,7588.017822720215
0,137,12635.046921035299
0,138,4608.900698525884
0,139,4432.689753454721
0,140,4358.397690237776
0,141,5031.442932978199
0,142,4854.201380308416
0,143,8000.657271054875
0,144,10343.929848449267
0,145,6358.894293148218
0,146,8719.906923422022
0,147,8866.813804749438
0,148,7958.401024551951
0,149,6947.236203617442
0,150,8008.024298308433
0,151,7094.098245151925
0,152,8301.009177402024
0,153,8719.139425633413
0,154,8755.792405332615
0,155,9333.458074787706
0,156,8853.158789202726
0,157,10171.616419046044
0,158,10083.575065477093
0,159,9608.694219572459
0,160,9900.287214025817
0,161,10866.568735724919
0,162,11445.179517398825
0,163,11068.402648808926
0,164,11287.31978968601
0,165,11426.599629704713
0,166,13357.365487014476
0,167,13364.771972192146
0,168,13177.693735010094
0,169,13329.697116325582
0,170,13280.328663856384
0,171,13298.558722301148
0,172,12740.53359353026
0,173,12902.431709079003
0,174,13352.43578386254
0,175,13215.150854151296
0,176,13232.021941630883
0,177,13202.747293335864
0,178,3474.7682767602055
0,179,11733.825463551844
0,180,9089.194029921855
0,181,6333.783274381227
0,182,4015.465546036648
0,183,13359.624928497768
0,184,13354.472901322126
0,185,11575.11025943119
0,186,9923.872457878413
0,187,11961.405114652482
0,188,3146.9291371353115
0,189,6201.573093406502
0,190,10609.004948055455
0,191,12688.500203310085
0,192,8504.61564997958
0,193,11706.680108830225
0,194,9007.079740547479
0,195,4678.32473614205
0,196,4571.963516985315
0,197,8523.836152569927
0,198,8710.428587323717
0,199,11813.50895253805
0,200,11099.380945806271
0,201,6374.705057501232
0,202,8702.968361041623
1,0,4966.677086685358
1,1,5375.308136798596
1,2,5901.188533373314
1,3,6538.667352971877
1,4,7189.838562573667
1,5,8524.960185103826
1,6,5557.831281408811
1,7,13251.73123690342
1,8,13087.605194564092
1,9,11104.19989038494
1,10,10469.614974726748
1,11,12357.8873162505
1,12,10964.692247824069
1,13,12376.585974683352
1,14,12247.557504348219
1,15,10990.608741938182
1,16,10188.160449719408
1,17,10490.192368413766
1,18,4265.699633108569
1,19,3674.7954600210046
1,20,3840.23461390758
1,21,4141.519177115354
1,22,12793.692545498852
1,23,6269.199744507777
1,24,8527.905682947166
1,25,7910.608956486206
1,26,9695.088208832474
1,27,12265.254614196441
1,28,7653.686262115792
1,29,8408.182572629876
1,30,8921.195323870423
1,31,13336.429270020646
1,32,13378.230465162325
1,33,10592.660019991152
1,34,13907.005019891565
1,35,9158.85370114143
1,36,11963.583052521813
1,37,8458.767958339537
1,38,5299.365323847904
1,39,9902.034944991521
1,40,6288.454159624638
1,41,7174.802309154227
1,42,7164.1676684192025
1,43,6875.27550224145
1,44,10917.655560325567
1,45,5640.352457843451
1,46,11812.529849053797
