OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33 DEB,1997-051CL,2024-01-22T22:15:28.508256,14.48233955,.0011446,86.3949,350.9348,175.3592,238.7208,0,U,34077,999,78292,.22173E-2,.8301E-4,0
IRIDIUM 33 DEB,1997-051CN,2024-01-22T19:45:45.688608,14.58290568,.000838,86.3860,315.7532,166.7928,246.9076,0,U,34079,999,78837,.22941E-2,.10635E-3,0
IRIDIUM 33 DEB,1997-051CV,2024-01-23T03:06:40.667904,14.62793068,.0011057,86.3761,339.8889,191.7826,299.1365,0,U,34086,999,78446,.51932E-2,.26611E-3,0
IRIDIUM 33 DEB,1997-051CX,2024-01-22T22:03:31.925664,14.56624501,.001352,86.4006,337.5890,99.0638,320.8347,0,U,34088,999,78593,.31068E-2,.13904E-3,0
IRIDIUM 33 DEB,1997-051DA,2024-01-22T21:37:38.597088,14.43806537,.0068503,86.3627,10.8460,137.6018,223.0505,0,U,34091,999,77820,.2733E-2,.9597E-4,0
IRIDIUM 33 DEB,1997-051DG,2024-01-22T22:54:13.000032,14.25384268,.009393,86.2053,303.4522,71.6064,289.5312,0,U,34097,999,77322,.20677E-2,.5124E-4,0
IRIDIUM 33 DEB,1997-051DL,2024-01-22T23:22:19.173792,15.65167245,.0036268,86.3181,9.4834,126.8627,233.5975,0,U,34101,999,77929,.36421E-1,.4333395E-1,0
IRIDIUM 33 DEB,1997-051DM,2024-01-22T14:13:31.892736,14.47952199,.0083486,86.3675,47.4410,352.9623,126.4141,0,U,34102,999,77360,.61939E-2,.24084E-3,0
IRIDIUM 33 DEB,1997-051DR,2024-01-22T18:32:56.214240,14.68060222,.0012724,86.3568,290.8699,128.0961,293.0547,0,U,34106,999,78906,.32955E-2,.18985E-3,0
IRIDIUM 33 DEB,1997-051DS,2024-01-22T19:54:37.336320,14.75051957,.0007708,86.3702,299.1599,136.1091,291.6340,0,U,34107,999,78980,.54915E-2,.37175E-3,0
IRIDIUM 33 DEB,1997-051DY,2024-01-22T21:38:26.169792,14.33812710,.0059785,86.2156,277.4777,191.1337,168.8541,0,U,34145,999,77731,.12718E-2,.3626E-4,0
IRIDIUM 33 DEB,1997-051DZ,2024-01-22T19:23:25.692000,14.40996237,.0033972,86.2868,292.4500,354.2455,75.2972,0,U,34146,999,78142,.1604E-2,.5208E-4,0
IRIDIUM 33 DEB,1997-051EN,2024-01-22T20:28:58.234656,14.35140058,.0031316,86.3544,341.4856,30.5738,329.7275,0,U,34159,999,78051,.75421E-3,.2184E-4,0
IRIDIUM 33 DEB,1997-051ES,2024-01-22T19:21:50.649408,14.41936292,.0019699,86.3302,301.2219,264.1837,158.8428,0,U,34350,999,78338,.73113E-3,.2419E-4,0
IRIDIUM 33 DEB,1997-051ET,2024-01-22T18:33:20.331072,15.74190769,.0023725,86.3692,296.9078,115.3225,245.0509,0,U,34351,999,79315,.16775E-1,.2797219E-1,0
IRIDIUM 33 DEB,1997-051FA,2024-01-22T21:43:37.139808,14.76218116,.0021532,86.3167,272.7166,321.4118,161.4980,0,U,34358,999,78786,.46517E-2,.32443E-3,0
IRIDIUM 33 DEB,1997-051FJ,2024-01-22T23:13:36.250752,14.43122484,.0019909,86.3763,346.5190,286.3718,141.9103,0,U,34366,999,78195,.19409E-2,.6549E-4,0
